name,url,remote_support,adaptive_support,test_type,description,duration
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Yes,No,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']",Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,15
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Yes,Yes,"['Biodata & Situational Judgement', 'Ability & Aptitude', 'Personality & Behavior']","Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",15
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Yes,No,"['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgement', 'Competencies', 'Development & 360', 'Personality & Behavior']","Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",15
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Yes,Yes,['Knowledge & Skills'],".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",15
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,No,['Knowledge & Skills'],".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",15
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Yes,No,['Knowledge & Skills'],".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",15
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Yes,No,['Knowledge & Skills'],".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",15
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Yes,No,['Knowledge & Skills'],".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",15
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Yes,No,['Knowledge & Skills'],".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",15
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Yes,No,['Knowledge & Skills'],"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",15
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,['Simulations'],Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,15
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Yes,No,['Knowledge & Skills'],Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,15
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,['Simulations'],Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,15
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,No,['Knowledge & Skills'],"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",15
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,['Knowledge & Skills'],"Adobe Experience Manager (New): Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",15
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,['Knowledge & Skills'],"Adobe Photoshop CC: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File…",15
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,['Knowledge & Skills'],"Aeronautical Engineering (New): Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",15
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,Yes,No,['Knowledge & Skills'],"Aerospace Engineering (New): Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",15
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,Yes,No,['Knowledge & Skills'],"Agile Software Development: Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and…",7
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,Yes,No,['Knowledge & Skills'],"Agile Testing (New): Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",15
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,Yes,No,['Personality & Behavior'],AI Skills : The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,15
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,['Knowledge & Skills'],"Amazon Web Services (AWS) Development (New): Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",15
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,Yes,No,['Knowledge & Skills'],"Android Development (New): Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components…",15
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,Yes,No,['Knowledge & Skills'],"Angular 6 (New): Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with…",15
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,Yes,No,['Knowledge & Skills'],"AngularJS (New): Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",15
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Yes,No,['Knowledge & Skills'],"Apache Hadoop (New): Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",15
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,['Knowledge & Skills'],"Apache Hadoop Extensions (New): Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",15
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,Yes,No,['Knowledge & Skills'],"Apache HBase (New): Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration…",15
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,Yes,No,['Knowledge & Skills'],"Apache Hive (New): Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive…",15
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Yes,No,['Knowledge & Skills'],"Apache Kafka (New): Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",15
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,Yes,No,['Knowledge & Skills'],"Apache Pig (New): Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",15
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,Yes,No,['Knowledge & Skills'],"Apache Spark (New): Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",15
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Yes,No,['Knowledge & Skills'],"ASP .NET with C# (New): Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access…",15
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Yes,Yes,['Knowledge & Skills'],"ASP.NET 4.5: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role…",15
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,['Assessment Exercises'],"Assessment and Development Center Exercises: SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and…",15
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,Yes,No,['Simulations'],"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",15
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,Yes,No,['Simulations'],"Automata - SQL (New): A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",15
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,Yes,No,['Simulations'],Automata (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,15
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Yes,No,['Simulations'],Automata Data Science (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,15
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,['Simulations'],Automata Data Science Pro (New): A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,15
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,Yes,No,['Simulations'],"Automata Front End: Simulation based test that measures the front-end development capabilities using HTML, CSS, and  JavaScript. The candidate is provided with 3 different…",30
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,Yes,No,['Simulations'],Automata Pro (New): An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different…,15
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,Yes,No,['Simulations'],Automata Selenium: A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,15
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,['Knowledge & Skills'],"Automation Anywhere RPA Development (New): Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere…",15
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,Yes,No,['Knowledge & Skills'],"Automotive Engineering (New): Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and…",15
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,Yes,No,['Knowledge & Skills'],Basic Biology (New): Multi choice test that measures the candidate's basic understanding of Biology.,15
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,"['Simulations', 'Knowledge & Skills']","Basic Computer Literacy (Windows 10) (New): The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform…",15
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,Yes,No,['Knowledge & Skills'],"Basic Statistics (New): Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical…",15
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,Yes,No,['Knowledge & Skills'],"Biochemistry (New): Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and…",15
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,['Knowledge & Skills'],"Biotech Lab Techniques (New): Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",15
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,Yes,No,['Knowledge & Skills'],"BizTalk (New): Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",15
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,['Knowledge & Skills'],Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…,15
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,Yes,No,['Knowledge & Skills'],Business Communications: This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at…,15
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,Yes,No,['Knowledge & Skills'],"C Programming (New): Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling…",15
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,Yes,No,['Knowledge & Skills'],"C# Programming (New): Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs…",15
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Yes,No,['Knowledge & Skills'],C++ Programming (New): Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,15
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,['Knowledge & Skills'],"Cardiology and Diabetes Management (New): Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used…",15
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,Yes,No,['Knowledge & Skills'],"Ceramic Engineering (New): Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",15
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,Yes,No,['Knowledge & Skills'],"Chemical Engineering (New): Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles…",15
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,['Knowledge & Skills'],"Cisco AppDynamics (New): Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom…",15
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Yes,No,['Knowledge & Skills'],"Civil Engineering (New): Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources…",15
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Yes,No,['Knowledge & Skills'],"Cloud Computing (New): Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",15
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,Yes,No,['Knowledge & Skills'],"COBOL Programming (New): Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",15
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,Yes,No,['Knowledge & Skills'],"Computer Science (New): Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",15
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,['Simulations'],Contact Center Call Simulation (New): Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and…,15
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,['Simulations'],Conversational Multichat Simulation : This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It…,15
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,['Knowledge & Skills'],"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…",15
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,Yes,No,['Knowledge & Skills'],"Core Java (Entry Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",15
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,Yes,Yes,"['Knowledge & Skills', 'Simulations']",Count Out The Money: The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is…,15
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,Yes,No,['Knowledge & Skills'],CSS3 (New): Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,15
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Yes,No,['Knowledge & Skills'],"Culinary Skills (New): Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",15
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"['Biodata & Situational Judgement', 'Simulations']","Customer Service Phone Simulation: As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample…",15
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","Customer Service Phone Solution: As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a…",15
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Yes,No,['Knowledge & Skills'],"Cyber Risk (New): Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",15
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,Yes,No,['Simulations'],Data Entry (New): Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,15
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,['Knowledge & Skills'],Data Entry Alphanumeric Split Screen - US: The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes…,15
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,['Knowledge & Skills'],Data Entry Numeric Split Screen - US: The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes…,15
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,['Knowledge & Skills'],Data Entry Ten Key Split Screen: Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,15
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,Yes,No,['Knowledge & Skills'],"Data Science (New): Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make…",15
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,['Knowledge & Skills'],"Data Warehousing Concepts: The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and…",15
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,['Personality & Behavior'],Dependability and Safety Instrument (DSI): The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and…,15
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,Yes,No,['Knowledge & Skills'],"Dermatology (New): Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies…",15
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,Yes,No,['Knowledge & Skills'],"Desktop Support (New): Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",15
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Yes,No,['Knowledge & Skills'],Digital Advertising (New): Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,15
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Yes,No,['Personality & Behavior'],Digital Readiness Development Report - IC: This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at…,15
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,['Personality & Behavior'],Digital Readiness Development Report - Manager: This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at…,15
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,Yes,No,['Knowledge & Skills'],"Docker (New): Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",15
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,Yes,No,['Knowledge & Skills'],"Dojo (New): Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",15
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,Yes,No,['Knowledge & Skills'],"Drupal (New): Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",15
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,['Personality & Behavior'],DSI v1.1 Interpretation Report: DSI v1.1 Interpretation Report,15
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,Yes,No,['Knowledge & Skills'],"Econometrics (New): Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",15
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,Yes,No,['Knowledge & Skills'],"Economics (New): Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",15
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,['Knowledge & Skills'],"Electrical and Electronics Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and…",15
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,Yes,No,['Knowledge & Skills'],"Electrical Engineering (New): Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic…",15
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,['Knowledge & Skills'],"Electronics & Telecommunications Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics…",15
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,['Knowledge & Skills'],"Electronics and Embedded Systems Engineering (New): Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",15
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,['Knowledge & Skills'],"Electronics and Semiconductor Engineering (New): Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of…",15
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,Yes,No,['Knowledge & Skills'],"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",15
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,['Knowledge & Skills'],"Enterprise Java Beans (New): Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.",15
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Yes,No,['Personality & Behavior'],Enterprise Leadership Report 1.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,15
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,['Personality & Behavior'],Enterprise Leadership Report 2.0: Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.  For…,15
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,"['Competencies', 'Personality & Behavior']","Entry Level Cashier Solution: The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards…",15
